Asset,Date,Open,High,Low,Close,Adj Close,Volume
BTC,2022-08-28,"20,024.36","20,137.88","19,880.16","19,998.09","19,998.09","24,457,920,512"
BTC,2022-08-27,"20,262.48","20,340.78","19,890.52","20,041.74","20,041.74","30,116,729,776"
BTC,2022-08-26,"21,596.09","21,804.91","20,199.48","20,260.02","20,260.02","42,326,789,564"
BTC,2022-08-25,"21,395.46","21,789.64","21,362.44","21,600.90","21,600.90","31,028,679,593"
BTC,2022-08-24,"21,526.46","21,783.08","21,195.01","21,395.02","21,395.02","31,962,253,368"
BTC,2022-08-23,"21,401.04","21,646.20","20,955.14","21,528.09","21,528.09","31,878,280,659"
BTC,2022-08-22,"21,531.46","21,531.46","20,939.18","21,398.91","21,398.91","31,666,498,758"
ETH,2022-08-28,"1,489.46","1,505.79","1,465.73","1,483.39","1,483.39","12,774,429,696"
ETH,2022-08-27,"1,508.16","1,517.15","1,454.28","1,491.40","1,491.40","18,120,831,899"
ETH,2022-08-26,"1,696.32","1,698.56","1,498.77","1,507.78","1,507.78","26,713,710,143"
ETH,2022-08-25,"1,657.34","1,718.18","1,656.86","1,696.46","1,696.46","14,818,795,695"
ETH,2022-08-24,"1,662.70","1,686.56","1,610.10","1,657.06","1,657.06","16,780,932,907"
ETH,2022-08-23,"1,622.94","1,666.68","1,569.43","1,662.77","1,662.77","18,322,041,914"
ETH,2022-08-22,"1,619.17","1,622.78","1,535.01","1,622.51","1,622.51","18,557,078,599"
USDT,2022-08-28,1.0000,1.0001,1.0000,1.0000,1.0000,"33,728,837,632"
USDT,2022-08-27,1.0001,1.0001,1.0000,1.0000,1.0000,"43,316,381,517"
USDT,2022-08-26,1.0001,1.0001,1.0000,1.0000,1.0000,"62,406,193,046"
USDT,2022-08-25,1.0000,1.0001,1.0000,1.0001,1.0001,"45,854,093,190"
USDT,2022-08-24,1.0000,1.0001,1.0000,1.0000,1.0000,"48,708,536,003"
USDT,2022-08-23,1.0000,1.0000,0.9999,1.0000,1.0000,"52,978,066,914"
USDT,2022-08-22,1.0000,1.0001,0.9999,1.0000,1.0000,"51,710,064,329"
USDC,2022-08-28,1.000043,1.000240,0.999808,0.999948,0.999948,"6,382,658,048"
USDC,2022-08-27,0.999921,1.000350,0.999701,1.000009,1.000009,"12,367,955,268"
USDC,2022-08-26,0.999979,1.000318,0.999549,0.999974,0.999974,"9,023,777,773"
USDC,2022-08-25,0.999921,1.000195,0.999671,0.999960,0.999960,"7,247,298,408"
USDC,2022-08-24,0.999999,1.000239,0.999647,0.999861,0.999861,"7,342,467,396"
USDC,2022-08-23,1.000136,1.000395,0.999705,0.999982,0.999982,"5,446,317,941"
USDC,2022-08-22,1.000114,1.000364,0.999764,1.000138,1.000138,"5,446,317,941"
BNB,2022-08-28,277.55,283.49,276.52,280.77,280.77,"776,752,896"
BNB,2022-08-27,279.57,283.85,274.54,277.80,277.80,"962,669,292"
BNB,2022-08-26,301.56,301.56,277.85,279.60,279.60,"1,210,077,085"
BNB,2022-08-25,296.49,306.14,296.20,301.58,301.58,"973,529,233"
BNB,2022-08-24,299.02,299.96,294.71,296.45,296.45,"935,405,757"
BNB,2022-08-23,300.57,301.20,294.32,299.03,299.03,"1,034,959,891"
BNB,2022-08-22,302.03,303.82,289.31,300.56,300.56,"1,463,703,478"
XRP,2022-08-28,0.334971,0.337156,0.333025,0.335088,0.335088,"542,151,232"
XRP,2022-08-27,0.338433,0.340249,0.330427,0.335347,0.335347,"920,820,399"
XRP,2022-08-26,0.349464,0.369568,0.333939,0.338370,0.338370,"1,653,482,688"
XRP,2022-08-25,0.346179,0.351366,0.344279,0.349497,0.349497,"970,585,823"
XRP,2022-08-24,0.347074,0.352136,0.339634,0.346145,0.346145,"957,472,562"
XRP,2022-08-23,0.344734,0.347691,0.333957,0.347092,0.347092,"930,696,331"
XRP,2022-08-22,0.345282,0.345282,0.332524,0.344721,0.344721,"1,001,511,240"
ADA,2022-08-28,0.449130,0.453335,0.440244,0.445252,0.445252,"483,289,696"
ADA,2022-08-27,0.431039,0.450795,0.428077,0.449703,0.449703,"733,099,946"
ADA,2022-08-26,0.464959,0.481639,0.428157,0.430863,0.430863,"1,299,179,883"
ADA,2022-08-25,0.458108,0.473415,0.458041,0.464999,0.464999,"525,337,287"
ADA,2022-08-24,0.465182,0.466601,0.454518,0.458109,0.458109,"494,717,036"
ADA,2022-08-23,0.461483,0.468810,0.447805,0.465207,0.465207,"562,953,519"
ADA,2022-08-22,0.463536,0.463536,0.440015,0.461446,0.461446,"722,091,304"
BUSD,2022-08-28,1.0003,1.0007,0.9998,1.0003,1.0003,"3,611,835,904"
BUSD,2022-08-27,1.0000,1.0007,0.9995,1.0002,1.0002,"5,418,792,299"
BUSD,2022-08-26,1.0002,1.0009,0.9997,1.0001,1.0001,"10,264,830,869"
BUSD,2022-08-25,1.0001,1.0007,0.9995,1.0002,1.0002,"4,230,243,446"
BUSD,2022-08-24,0.9999,1.0010,0.9995,1.0001,1.0001,"4,859,837,991"
BUSD,2022-08-23,1.0003,1.0008,0.9995,0.9998,0.9998,"4,782,594,109"
BUSD,2022-08-22,1.0000,1.0008,0.9995,1.0003,1.0003,"4,859,670,365"
SOL,2022-08-28,31.49,32.10,31.26,31.80,31.80,"526,069,760"
SOL,2022-08-27,31.71,32.21,30.95,31.54,31.54,"764,882,265"
SOL,2022-08-26,35.31,35.58,31.50,31.73,31.73,"1,315,871,629"
SOL,2022-08-25,34.96,36.42,34.93,35.32,35.32,"828,503,624"
SOL,2022-08-24,35.65,36.29,34.43,34.96,34.96,"946,325,778"
SOL,2022-08-23,35.48,36.05,34.31,35.65,35.65,"854,779,221"
SOL,2022-08-22,36.53,36.53,33.90,35.47,35.47,"1,139,846,770"
DOT,2022-08-28,7.0317,7.1432,6.9826,7.0712,7.0712,"229,168,224"
DOT,2022-08-27,6.9239,7.0860,6.8358,7.0487,7.0487,"309,589,522"
DOT,2022-08-26,7.5859,7.6514,6.8919,6.9240,6.9240,"409,439,777"
DOT,2022-08-25,7.5728,7.7431,7.4866,7.5872,7.5872,"260,711,829"
DOT,2022-08-24,7.6383,7.7313,7.4414,7.5724,7.5724,"301,128,081"
DOT,2022-08-23,7.4034,7.6968,7.2047,7.6384,7.6384,"357,178,869"
DOT,2022-08-22,7.4375,7.4388,7.0220,7.4020,7.4020,"321,523,178"
DOGE,2022-08-28,0.063535,0.064246,0.063191,0.063835,0.063835,"281,012,192"
DOGE,2022-08-27,0.063571,0.064065,0.062607,0.063587,0.063587,"380,887,727"
DOGE,2022-08-26,0.069082,0.069296,0.063254,0.063572,0.063572,"620,512,451"
DOGE,2022-08-25,0.067991,0.071579,0.067957,0.069094,0.069094,"469,798,193"
DOGE,2022-08-24,0.068771,0.069415,0.067298,0.067990,0.067990,"345,474,347"
DOGE,2022-08-23,0.068395,0.069169,0.067213,0.068770,0.068770,"335,476,543"
DOGE,2022-08-22,0.069441,0.069489,0.065606,0.068391,0.068391,"453,413,439"
AVAX,2022-08-28,20.00,20.36,19.69,19.97,19.97,"284,705,856"
AVAX,2022-08-27,20.60,20.86,19.87,20.08,20.08,"351,975,085"
AVAX,2022-08-26,23.01,23.17,20.43,20.60,20.60,"530,798,722"
AVAX,2022-08-25,23.03,23.63,22.75,23.02,23.02,"325,764,518"
AVAX,2022-08-24,23.52,23.58,22.86,23.02,23.02,"365,514,547"
AVAX,2022-08-23,22.58,23.65,21.88,23.52,23.52,"438,836,084"
AVAX,2022-08-22,22.97,22.98,21.69,22.58,22.58,"512,194,711"
MATIC,2022-08-28,0.804189,0.829578,0.801009,0.818567,0.818567,"410,672,640"
MATIC,2022-08-27,0.763835,0.811241,0.758536,0.805348,0.805348,"494,847,400"
MATIC,2022-08-26,0.818719,0.837818,0.758966,0.763723,0.763723,"598,910,538"
MATIC,2022-08-25,0.813656,0.831279,0.808662,0.818728,0.818728,"287,070,102"
